date,class_band,identity_band,class_z,O_x,P_real,delta_P
2021-11-01,23.5,37.5,0.02386071999295341,0.6147540983505778,0.02386071999295341,0.00919224458768973
2021-12-01,23.25,26.5,-0.10055589139887862,0.5326633165722078,-0.10055589139887862,-0.04699345678547719
2022-01-01,23.25,32.25,-0.10055589139887862,0.5810810810706112,-0.10055589139887862,-0.042124765316799255
2022-02-01,25.75,35.5,1.1436102225194418,0.5795918367252312,1.1436102225194418,0.4807830731516482
2022-03-01,28.0,39.75,2.26335972504593,0.5867158671500116,2.26335972504593,0.9354106612931954
2022-04-01,25.75,43.0,1.1436102225194418,0.6254545454454479,1.1436102225194418,0.42833401062677684
2022-05-01,26.0,32.5,1.2680268339112737,0.555555555546059,1.2680268339112737,0.5635674817503858
2022-06-01,26.5,30.75,1.5168600566949377,0.5371179039207491,1.5168600566949377,0.7021273625018442
2022-07-01,25.5,29.25,1.0191936111276096,0.5342465753327078,1.0191936111276096,0.4746929147817086
2022-08-01,25.5,29.75,1.0191936111276096,0.5384615384517926,1.0191936111276096,0.47039705129959897
2022-09-01,24.75,30.75,0.6459437769521136,0.5540540540440712,0.6459437769521136,0.2880560086472558
2022-10-01,23.75,31.5,0.14827733138478544,0.5701357465960156,0.14827733138478544,0.06373912435245598
2022-11-01,22.25,33.25,-0.5982223369662067,0.5990990990883046,-0.5982223369662067,-0.23982787383525211
2022-12-01,23.5,28.0,0.02386071999295341,0.5436893203777925,0.02386071999295341,0.010887901356259765
2023-01-01,23.75,31.5,0.14827733138478544,0.5701357465960156,0.14827733138478544,0.06373912435245598
2023-02-01,26.5,39.5,1.5168600566949377,0.5984848484757805,1.5168600566949377,0.6090422955049041
2023-03-01,25.0,46.0,0.7703603883439456,0.6478873239345367,0.7703603883439456,0.2712536578746162
2023-04-01,24.25,51.5,0.39711055416844954,0.6798679867897047,0.39711055416844954,0.12712780117300176
2023-05-01,25.25,40.0,0.8947769997357776,0.6130268199139766,0.8947769997357776,0.3462547010555848
2023-06-01,25.25,37.25,0.8947769997357776,0.595999999990464,0.8947769997357776,0.3614899079017867
2023-07-01,26.0,31.0,1.2680268339112737,0.5438596491132657,1.2680268339112737,0.5783982049540831
2023-08-01,24.75,28.5,0.6459437769521136,0.5352112675955829,0.6459437769521136,0.3002273892940944
2023-09-01,26.25,28.25,1.3924434453031058,0.5183486238437001,1.3924434453031058,0.6706723016500605
2023-10-01,25.0,29.0,0.7703603883439456,0.5370370370270919,0.7703603883439456,0.35664832794467316
2023-11-01,23.75,28.75,0.14827733138478544,0.5476190476086168,0.14827733138478544,0.06707784038990197
2023-12-01,22.5,24.75,-0.4738057255743747,0.5238095237984379,-0.4738057255743747,-0.22562177408828815
2024-01-01,22.75,27.5,-0.3493891141825427,0.547263681581149,-0.3493891141825427,-0.15818114125062793
2024-02-01,23.25,28.5,-0.10055589139887862,0.5507246376705174,-0.10055589139887862,-0.04517728454259529
2024-03-01,23.75,32.0,0.14827733138478544,0.5739910313798388,0.14827733138478544,0.06316747301298231
2024-04-01,22.5,32.0,-0.4738057255743747,0.5871559632919788,-0.4738057255743747,-0.19560786836149777
2024-05-01,22.0,26.0,-0.7226389483580388,0.541666666655382,-0.7226389483580388,-0.3312095180055892
2024-06-01,21.0,25.25,-1.220305393925367,0.5459459459341417,-1.220305393925367,-0.5540846113102471
2024-07-01,21.5,26.75,-0.9714721711417029,0.55440414506623,-0.9714721711417029,-0.4328839726442528
2024-08-01,22.0,33.25,-0.7226389483580388,0.6018099547402388,-0.7226389483580388,-0.2877476355531537
2024-09-01,22.25,28.25,-0.5982223369662067,0.5594059405829821,-0.5982223369662067,-0.2635732078778762
2024-10-01,24.25,30.75,0.39711055416844954,0.5590909090807439,0.39711055416844954,0.1750896534328531
2024-11-01,20.0,37.0,-1.717971839492695,0.6491228070061558,-1.717971839492695,-0.602797136683668
2024-12-01,20.25,26.25,-1.5935552281008631,0.5645161290201179,-1.5935552281008631,-0.6939675993535928
2025-01-01,19.75,33.25,-1.8423884508845272,0.6273584905542008,-1.8423884508845272,-0.686550413323118
2025-02-01,21.5,38.75,-0.9714721711417029,0.6431535269602796,-0.9714721711417029,-0.34666641792815633
2025-03-01,21.25,35.5,-1.0958887825335348,0.6255506607819287,-1.0958887825335348,-0.41035483047617877
2025-04-01,20.75,27.25,-1.3447220053171989,0.5677083333215062,-1.3447220053171989,-0.5813121168978184
2025-05-01,20.5,25.25,-1.469138616709031,0.5519125682939473,-1.469138616709031,-0.6583025495813326
2025-06-01,20.75,23.5,-1.3447220053171989,0.531073446315682,-1.3447220053171989,-0.6305758556168592
2025-07-01,23.25,26.0,-0.10055589139887862,0.5279187817151691,-0.10055589139887862,-0.04747054771729976
2025-08-01,20.25,26.5,-1.5935552281008631,0.5668449197739712,-1.5935552281008631,-0.6902565426726369
2025-09-01,20.25,34.0,-1.5935552281008631,0.6267281105875258,-1.5935552281008631,-0.5948293708763356
2025-10-01,21.0,27.0,-1.220305393925367,0.5624999999882813,-1.220305393925367,-0.5338836098566485
2025-11-01,20.5,26.25,-1.469138616709031,0.561497326191198,-1.469138616709031,-0.6442212116226749
2025-12-01,22.0,24.75,-0.7226389483580388,0.5294117646945581,-0.7226389483580388,-0.34006538747078985
2026-01-01,23.75,27.25,0.14827733138478544,0.5343137254797193,0.14827733138478544,0.06905071804838982
