market_slug,trigger_type,resolution_date,resolution_outcome,market_prob_at_entry,delta_p_at_entry,entry_date,fill_notional_usd,book_depth_usd,half_spread_frac
will-the-us-annual-inflation-on-january-2022-exceed-7p0,heat_shield_reversal,2022-02-10,1,0.5,-0.0421,2022-01-12,100.0,1000.0,0.01
2022-us-senate-elections-will-a-democrat-or-republican-win-in-colorado,cointelpro_metric,2022-11-15,1,0.5,-0.0421,2022-01-12,100.0,1000.0,0.01
which-party-will-control-the-us-senate-after-the-2022-election,cointelpro_metric,2022-11-08,1,0.5,-0.0421,2022-01-12,100.0,2281.27,0.01
2022-us-senate-elections-will-a-democrat-or-republican-win-in-nevada,cointelpro_metric,2022-11-15,1,0.5,-0.0421,2022-01-12,100.0,1000.0,0.01
2022-us-senate-elections-will-a-democrat-or-republican-win-in-pennsylvania,cointelpro_metric,2022-11-15,1,0.5,-0.0421,2022-01-12,100.0,1000.0,0.01
2022-us-senate-elections-will-a-democrat-or-republican-win-in-wisconsin,cointelpro_metric,2022-11-15,0,0.5,-0.0421,2022-01-12,100.0,1000.0,0.01
will-annual-inflation-in-the-european-union-be-5p3-or-more-in-january,heat_shield_reversal,2022-02-23,1,0.5,-0.0421,2022-01-20,100.0,1000.0,0.01
will-annual-inflation-in-the-european-union-be-5p5-or-more-in-january,heat_shield_reversal,2022-02-23,1,0.5,-0.0421,2022-01-20,100.0,1000.0,0.01
will-annual-inflation-in-the-european-union-be-5p7-or-more-in-january,heat_shield_reversal,2022-02-23,0,0.5,-0.0421,2022-01-20,100.0,1000.0,0.01
which-will-report-a-higher-7-day-covid-19-case-average-per-capita-on-february-8-the-usa-or-the-european-union,heat_shield_reversal,2022-02-08,0,0.5,-0.0421,2022-01-21,100.0,1000.0,0.01
will-josh-mandel-win-the-republican-nomination-for-the-2022-united-states-senate-election-in-ohio,cointelpro_metric,2022-05-03,0,0.5,-0.0421,2022-01-26,100.0,1000.0,0.01
will-mike-gibbons-win-the-republican-nomination-for-the-2022-united-states-senate-election-in-ohio,cointelpro_metric,2022-05-03,0,0.5,-0.0421,2022-01-26,100.0,1000.0,0.01
will-jane-timken-win-the-republican-nomination-for-the-2022-united-states-senate-election-in-ohio,cointelpro_metric,2022-05-03,0,0.5,-0.0421,2022-01-26,100.0,1000.0,0.01
will-j-d-vance-win-the-republican-nomination-for-the-2022-united-states-senate-election-in-ohio,cointelpro_metric,2022-05-03,1,0.5,-0.0421,2022-01-26,100.0,1000.0,0.01
will-john-fetterman-win-the-democratic-nomination-for-the-2022-united-states-senate-election-in-pennsylvania,cointelpro_metric,2022-05-18,1,0.5,-0.0421,2022-01-26,100.0,1000.0,0.01
will-david-mccormick-win-the-republican-nomination-for-the-2022-united-states-senate-election-in-pennsylvania,cointelpro_metric,2022-05-17,0,0.5,-0.0421,2022-01-26,100.0,1000.0,0.01
will-conor-lamb-win-the-democratic-nomination-for-the-2022-united-states-senate-election-in-pennsylvania,cointelpro_metric,2022-05-18,0,0.5,-0.0421,2022-01-26,100.0,1000.0,0.01
will-mehmet-oz-win-the-republican-nomination-for-the-2022-united-states-senate-election-in-pennsylvania,cointelpro_metric,2022-05-17,1,0.5,-0.0421,2022-01-26,100.0,1000.0,0.01
will-ketanji-brown-jackson-be-the-next-nominee-for-supreme-court-justice,cointelpro_metric,2022-12-31,1,0.5,-0.0421,2022-01-27,100.0,1000.0,0.01
will-leondra-kruger-be-the-next-nominee-for-supreme-court-justice,cointelpro_metric,2022-12-31,0,0.5,-0.0421,2022-01-27,100.0,1000.0,0.01
will-j-michelle-childs-be-the-next-nominee-for-supreme-court-justice,cointelpro_metric,2022-12-31,0,0.5,-0.0421,2022-01-27,100.0,1000.0,0.01
will-president-biden-mention-cryptocurrency-in-the-2022-state-of-the-union-address,heat_shield_reversal,2022-03-01,0,0.5,0.4808,2022-02-24,100.0,1000.0,0.01
will-president-biden-mention-swift-in-the-2022-state-of-the-union-address,heat_shield_reversal,2022-03-01,0,0.5,0.4808,2022-02-24,100.0,1000.0,0.01
will-president-biden-mention-trump-in-the-2022-state-of-the-union-address,heat_shield_reversal,2022-03-01,0,0.5,0.4808,2022-02-26,100.0,1000.0,0.01
will-president-biden-mention-russiaputin-12-or-more-times-in-his-1st-state-of-the-union-address,heat_shield_reversal,2022-03-01,1,0.5,0.4808,2022-02-26,100.0,1340.92,0.01
will-annual-inflation-in-the-european-union-be-59-or-more-in-february,heat_shield_reversal,2022-03-17,1,0.5,0.9354,2022-03-01,100.0,1000.0,0.01
will-the-us-inflation-be-07-or-more-from-january-to-february-2022,heat_shield_reversal,2022-03-10,1,0.5,0.9354,2022-03-01,100.0,1000.0,0.01
will-ukraine-be-a-member-state-of-the-european-union-by-july-31-2022,heat_shield_reversal,2022-07-31,0,0.5,0.9354,2022-03-04,100.0,1000.0,0.01
