start	end	text
308800	312560	the entire U.S. prison population was around 300,000.
312560	314240	Then Reagan expanded the war.
314240	317360	Then Clinton signed the big tough-on-crime bill in 94.
317360	319160	And look at where we are today.
319160	321960	2.3 million people behind bars.
321960	325440	The policies put in place had a direct, dramatic,
325440	329680	and truly explosive effect on incarceration in this country.
329680	332760	And let's just focus on that number for a second.
332760	336360	Since 1980, the number of people in prison or jail,
336360	338160	specifically for a drug offense,
338160	341680	has increased by 1,100%.
341680	344520	Not 100, 1100%.
344520	345920	That's not a gradual shift.
345920	350200	That is a seismic explosion in one single category of crime.
350200	353280	So who did this explosion affect the most?
353280	355680	This chart tells a pretty clear story.
355680	359360	Black Americans make up about 13% of the U.S. population,
359360	362520	but they account for 38% of all drug arrests
362520	366000	and an absolutely unbelievable 59% of those
366000	368320	in state prison for drug offenses.
368320	369280	And here's the thing.
369280	371560	Research consistently shows that white people
371560	374680	and black people use drugs at very similar rates.
374680	376760	So the disparity isn't about who's using.
376760	379120	It's about who's being punished.
379120	382160	And nothing illustrates this disparity more clearly
382160	385640	than the infamous laws around crack versus powder cocaine.
385640	387600	Pharmacologically, they're the same drug.
387600	390840	But crack, which was associated with poor black communities,
390840	393280	got you a mandatory five-year prison sentence
393280	395120	for just five grams.
395120	398360	Powder cocaine, associated with more affluent white users,
398360	399920	required 500 grams.
399920	401600	That's 100 times the amount
401600	403680	to trigger that exact same sentence.
403680	408120	The result, 93% of those convicted for crack offenses were black.
408120	410640	Just let that sink in for a moment.
410640	415320	This comparison provides some really crucial global context.
415320	418040	It's a shocking statistic that forces us to grapple
418040	420880	with the sheer scale and the racial disparity
420880	423680	of mass incarceration in the United States.
423680	426120	So how did this all happen in an era
426120	429120	that claimed to be moving past over discrimination?
429120	431720	Well, it all comes back to where we started.
431720	434480	The power of language and the incredible success
434480	436960	of that abstract attack.
436960	439880	And this is really the final piece of the puzzle.
439880	442240	The whole political conversation shifted.
442240	443960	Instead of arguing about segregation,
443960	445840	which was no longer acceptable,
445840	448440	politicians started arguing about crime.
448440	451200	This allowed racially biased outcomes to continue,
451200	453360	not through explicitly racist laws,
453360	456840	but through a new system of so-called colorblind law enforcement
456840	459600	that was, in practice, anything but.
459680	462200	So what's the big takeaway from all this?
462200	464040	I think it's about the importance of developing
464040	466560	what some people call critical consciousness.
466560	468240	It's just the process of becoming aware
468240	471920	of how these huge social and political systems actually work,
471920	474400	seeing the connections between language, policy,
474400	475920	and their real-world impact.
475920	478120	Because understanding why something happened
478120	481720	is always the first step toward figuring out how to change it.
481720	483880	And that brings us to our final thought.
483880	486200	This playbook, identifying a political enemy,
486200	488000	linking them to a perceived threat,
488000	489960	and using abstract, coded language
489960	491880	to mobilize public opinion against them,
491880	493880	is not a relic of history.
493880	495840	It didn't just disappear.
495840	498040	So the crucial question we're left with is this.
498040	499360	Now that you know the playbook,
499360	501200	now that you can recognize the pattern,
501200	502640	where else do you see it playing out
502640	504440	in the world around you right now?
