start	end	text
383240	387480	You know, understanding this history isn't just about memorizing facts and dates.
387480	392040	It's really about learning to see the systems that are at play behind the headlines, behind
392040	393040	the political rhetoric.
393040	395120	There's actually a term for this.
395120	398940	Some sociologists call it developing a critical consciousness.
398940	403180	As one scholar put it so well, the language just shifted.
403180	408180	Arguments about black criminality simply replaced the older arguments about black inferiority.
408180	412100	It allowed for a similar outcome, but it was all done under this much more socially acceptable
412100	414700	banner of just being tough on crime.
414700	418340	And that really leaves us with a final thought to chew on.
418340	424100	This playbook, this idea of using coded, abstract language to target a specific group, it doesn't
424100	425380	just live in history books.
425700	429860	It's a powerful and really persistent political tool.
429860	434540	So the real question for all of us is, now that you know the playbook, where do you see
434540	435500	it being used today?
